,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
3007,OCZ OCZ3G16002G 2GB,28,7.2,3.5,NA
3008,OCZ OCZ3G1600LV2G 2GB,28,12.6,7.6,NA
3009,OCZ OCZ3G2000LV2G 2GB,29,10.9,6.0,NA
3010,OCZ OCZ3OB1600LV2G 2GB,23,13.1,9.9,NA
3011,OCZ OCZ3P13332G 2GB,30,11.6,6.9,NA
3012,OCZ OCZ3P1333C8ELV2G 2GB,27,11.8,7.9,NA
3013,OCZ OCZ3P1333LV2G 2GB,27,9.1,5.4,NA
3014,OCZ OCZ3P1333LVAM2G 2GB,29,12.6,7.0,NA
3015,OCZ OCZ3P16002G 2GB,71,6.4,4.3,NA
3016,OCZ OCZ3P1600C6LV2G 2GB,67,6.7,5.5,NA
3017,OCZ OCZ3P1600C9ELV2G 2GB,22,15.5,10.3,NA
3018,OCZ OCZ3P1600ELV2G 2GB,51,8.2,6.9,NA
3019,OCZ OCZ3P1600LV2G 2GB,24,12.3,7.7,NA
3020,OCZ OCZ3P20002G 2GB,28,12.5,7.3,NA
3021,OCZ OCZ3P2000LV2G 2GB,23,13.9,11.4,NA
3022,OCZ OCZ3RPR13332G 2GB,67,6.1,4.6,NA
3023,OCZ OCZ3RPR1333C9LV4G 4GB,26,15.0,8.9,NA
3024,OCZ OCZ3RPR1600C6LV2G 2GB,66,6.5,4.8,NA
3025,OCZ OCZ3RPR1600C8LV4G 4GB,28,12.6,8.3,NA
3026,OCZ OCZ3RPR1600LV2G 2GB,24,15.5,8.7,NA
3027,OCZ OCZ3RPR1600R2LV2G 2GB,72,5.8,4.5,NA
3028,OCZ OCZ3RPR2000LV2G 2GB,24,13.6,8.8,NA
3029,OCZ OCZ3SOE1600LV2G 2GB,26,15.6,8.9,NA
3030,OCZ OCZ3SR1333LV2G 2GB,26,9.6,4.6,NA
3031,OCZ OCZ3T1600LV2G 2GB,62,6.7,5.5,NA
3032,OCZ OCZ3X16002G 2GB,55,7.0,5.6,NA
3033,OCZ OCZ3X1600LV2G 2GB,21,14.2,10.4,NA
3034,OCZ OCZ3X1600R2LV2G 2GB,21,17.5,10.3,NA
3035,OCZ OCZ3XTEP2133C9LV2G 2GB,28,11.4,6.8,NA
3036,OM Nanotech Pvt.Ltd V01L3LF4GB26826816 4GB,37,14.4,9.4,NA
3037,OM Nanotech Pvt.Ltd V01L3LF8GB52852816 8GB,43,15.5,9.6,NA
3038,Panram International Corporation 240D38G628HYKLAFR 8GB,33,9.0,7.2,NA
3039,Panram International Corporation L316008G3C1128K04O 8GB,27,10.4,5.0,NA
3040,Panram International Corporation PSD31333C94G2VS 4GB,28,11.3,7.2,NA
3041,Panram International Corporation PSD31333C98G2VS 8GB,28,11.1,8.3,NA
3042,Panram International Corporation PSD31600C118G2VS 8GB,29,13.6,9.7,NA
3043,Panram International Corporation PSD3L1600C114G2VS 4GB,28,12.3,8.1,NA
3044,Panram International Corporation PSD3L1600C118G2VS 8GB,42,10.7,7.4,NA
3045,Panram International Corporation PSD3L1600C118GVS 8GB,30,11.7,7.4,NA
3046,Panram International Corporation PUD31333C94G2VS 4GB,27,13.9,8.1,NA
3047,Panram International Corporation PUD31600C108GNJK 8GB,70,6.6,5.2,NA
3048,Panram International Corporation PUD31600C112G2VS 2GB,24,15.2,8.8,NA
3049,Panram International Corporation PUD31600C114G2VS 4GB,40,13.8,8.5,NA
3050,Panram International Corporation PUD31600C118G2VS 8GB,43,14.1,9.3,NA
3051,Panram International Corporation PUD31600C118GVS 8GB,27,12.7,8.5,NA
3052,Panram International Corporation PUD31600C94G2FSK 4GB,25,14.9,8.7,NA
3053,Panram International Corporation PUD31600C94G2NJK 4GB,67,6.2,4.2,NA
3054,Panram International Corporation PUD31600C94GNJK 4GB,25,13.5,8.4,NA
3055,Panram International Corporation PUD31600C98G2FSK 8GB,70,6.1,4.9,NA
3056,Panram International Corporation PUD31600C98G2NJK 8GB,26,14.0,10.0,NA
3057,Panram International Corporation PUD31600C98GLSK 8GB,26,15.9,9.6,NA
3058,Panram International Corporation PUD31600C98GNJK 8GB,24,9.7,5.3,NA
3059,Panram International Corporation PUD31866C104G2FSK 4GB,66,6.5,4.7,NA
3060,Panram International Corporation PUD31866C94G2PSB 4GB,24,15.5,9.0,NA
3061,Panram International Corporation PUD31866C98G2PSB 8GB,21,16.4,10.8,NA
3062,Panram International Corporation PUD32133C104G2PSB 4GB,97,5.2,3.7,NA
3063,Panram International Corporation PUD32133C108G2PSB 8GB,20,15.4,12.4,NA
3064,Panram International Corporation PUD32400C114G2LSK 4GB,20,18.9,12.5,NA
3065,Panram International Corporation PUD32400C118G2LSK 8GB,22,17.5,11.6,NA
3066,Panram International Corporation PUD32800C124G2LSK 4GB,19,20.0,11.3,NA
3067,Panram International Corporation S316004G3C1128K05O 4GB,27,14.3,9.5,NA
3068,Patriot Memory (PDP Systems) 1333 CL9 Series 4GB,25,14.9,7.8,NA
3069,Patriot Memory (PDP Systems) 1333EL Series 4GB,40,13.3,8.1,$59.99*
3070,Patriot Memory (PDP Systems) 1333ELA Series 4GB,66,6.6,5.2,NA
3071,Patriot Memory (PDP Systems) 1333LL Series 2GB,27,12.7,7.5,NA
3072,Patriot Memory (PDP Systems) 1333LLA Series 2GB,25,15.4,9.0,NA
3073,Patriot Memory (PDP Systems) 1600 CL10 Series 8GB,40,15.2,9.4,NA
3074,Patriot Memory (PDP Systems) 1600 CL11 Series 4GB,38,14.1,8.5,NA
3075,Patriot Memory (PDP Systems) 1600 CL9 Series 4GB,39,14.7,9.0,NA
3076,Patriot Memory (PDP Systems) 1600 CL9 Series-XP 8GB,28,13.5,8.5,NA
3077,Patriot Memory (PDP Systems) 1600EL Series 4GB,43,12.7,8.0,$26.99*
3078,Patriot Memory (PDP Systems) 1600ELA Series 2GB,25,12.6,8.3,NA
3079,Patriot Memory (PDP Systems) 1600L CL9 Series 4GB,41,13.0,9.0,NA
3080,Patriot Memory (PDP Systems) 1600LL Series 4GB,39,14.5,9.2,$47.99*
3081,Patriot Memory (PDP Systems) 1600LLA Series 2GB,68,6.7,5.2,NA
3082,Patriot Memory (PDP Systems) 1600LLA2 Series 2GB,67,6.5,4.9,NA
3083,Patriot Memory (PDP Systems) 160C0 V3 Series 8GB,37,14.1,9.3,NA
3084,Patriot Memory (PDP Systems) 1866 CL10 Series 8GB,39,14.6,9.7,NA
3085,Patriot Memory (PDP Systems) 1866 CL9 Series 4GB,35,13.7,9.6,NA
3086,Patriot Memory (PDP Systems) 1866EL Series 4GB,38,13.5,9.2,NA
3087,Patriot Memory (PDP Systems) 186C0 V3 Series 8GB,37,13.6,9.8,NA
3088,Patriot Memory (PDP Systems) 2000EL Series 2GB,34,14.8,9.7,NA
3089,Patriot Memory (PDP Systems) 2000LL Series 2GB,61,6.6,5.4,$35.70*
3090,Patriot Memory (PDP Systems) 2133 CL11 Series 4GB,36,15.7,10.3,NA
3091,Patriot Memory (PDP Systems) 2133C11 Series 4GB,35,14.7,8.8,$178.18*
3092,Patriot Memory (PDP Systems) 2133C9 Series 4GB,22,16.3,12.3,$242.11*
3093,Patriot Memory (PDP Systems) 2133EL Series 4GB,29,14.1,11.1,NA
3094,Patriot Memory (PDP Systems) 213C1 V3 Series 8GB,25,13.4,9.2,NA
3095,Patriot Memory (PDP Systems) 2400 CL11 Series 8GB,23,15.2,9.3,NA
3096,Patriot Memory (PDP Systems) 2400C10 Series 8GB,35,16.3,10.2,$299.99*
3097,Patriot Memory (PDP Systems) 2400C11 Series 4GB,31,16.2,10.6,$49.99*
3098,Patriot Memory (PDP Systems) 2400C9 Series 2GB,18,18.6,13.9,$109.99*
3099,Patriot Memory (PDP Systems) 6C0 V3 Series 4GB,65,6.9,5.5,NA
3100,Patriot Memory (PDP Systems) P32G169UH 2GB,24,15.4,9.0,NA
3101,Patriot Memory (PDP Systems) P34G169UH 4GB,24,13.7,10.0,NA
3102,Patriot Memory (PDP Systems) P34G211UX 4GB,29,10.4,9.6,NA
3103,Patriot Memory (PDP Systems) PSA34G13332S 4GB,28,11.8,8.6,NA
3104,Patriot Memory (PDP Systems) PSD32G13332 2GB,25,13.5,8.6,$22.99*
3105,Patriot Memory (PDP Systems) PSD32G133381 2GB,26,12.9,7.5,$23.90*
3106,Patriot Memory (PDP Systems) PSD32G16002 2GB,24,15.1,10.2,NA
3107,Patriot Memory (PDP Systems) PSD32G160081 2GB,28,13.8,8.0,$22.15*
3108,Patriot Memory (PDP Systems) PSD34G13332 4GB,40,13.3,8.4,$18.99*
3109,Patriot Memory (PDP Systems) PSD34G13332S 4GB,36,8.4,5.9,NA
3110,Patriot Memory (PDP Systems) PSD34G133381 4GB,27,12.7,7.3,$65.54*
3111,Patriot Memory (PDP Systems) PSD34G133381S 4GB,27,11.1,7.3,NA
3112,Patriot Memory (PDP Systems) PSD34G16002 4GB,39,14.7,9.2,$41.99*
3113,Patriot Memory (PDP Systems) PSD34G160081 4GB,43,13.6,8.3,$17.99*
3114,Patriot Memory (PDP Systems) PSD34G160081S 4GB,28,12.7,8.2,NA
3115,Patriot Memory (PDP Systems) PSD34G160082 4GB,26,9.6,5.0,NA
3116,Patriot Memory (PDP Systems) PSD34G1600K 2GB,23,13.0,9.5,NA
3117,Patriot Memory (PDP Systems) PSD34G1600L81S 4GB,31,12.4,7.7,$17.99*
3118,Patriot Memory (PDP Systems) PSD38G13332 8GB,39,13.9,8.1,$36.78*
3119,Patriot Memory (PDP Systems) PSD38G13332S 8GB,28,10.9,7.5,$31.99*
3120,Patriot Memory (PDP Systems) PSD38G1333L2S 8GB,42,8.6,7.0,NA
3121,Patriot Memory (PDP Systems) PSD38G16002 8GB,42,13.9,9.1,$28.99*
3122,Patriot Memory (PDP Systems) PSD38G16002S 8GB,41,12.2,8.6,$56.99*
3123,Patriot Memory (PDP Systems) PSD38G1600L2 8GB,26,14.5,9.1,$69.99*
3124,Patriot Memory (PDP Systems) PSD38G1600L2S 8GB,42,14.3,9.3,$69.99*
3125,Patriot Memory (PDP Systems) PSP38G16002 8GB,29,12.5,9.1,NA
3126,PNY Electronics 2GBBEAUDCBA 2GB,69,6.3,4.8,NA
3127,PNY Electronics 2GBH2X01G99924-160 2GB,26,14.5,8.9,NA
3128,PNY Electronics 4GBBNAUDDBA 4GB,62,6.2,5.1,NA
3129,PNY Electronics 4GBH1X04E99927-15 4GB,22,14.7,8.6,NA
3130,PNY Electronics 4GBH1X04F1AA28-15 4GB,30,12.6,7.9,NA
3131,PNY Electronics 4GBH1X04F91924-165 4GB,25,14.2,8.4,NA
3132,PNY Electronics 4GBH2X01E99924-165 4GB,61,6.2,5.1,NA
3133,PNY Electronics 4GBH2X02E99924-165 4GB,21,15.3,10.2,NA
3134,PNY Electronics 4GBH2X02E99927-16 4GB,63,6.1,5.0,NA
3135,PNY Electronics 4GBH2X02E99927-16- 4GB,25,14.0,8.7,NA
3136,PNY Electronics 4GBH2X02F9B927-165 4GB,23,14.7,9.8,NA
3137,PNY Electronics 4GBH2X02HBBB30-165 4GB,22,16.3,10.7,NA
3138,PNY Electronics 64C0MHHHJ-HS 4GB,26,13.7,8.3,NA
3139,PNY Electronics 64D0JHHH-HS 8GB,83,5.9,4.2,NA
3140,PNY Electronics 64D0JKHNK 8GB,30,11.0,8.0,NA
3141,PNY Electronics 6AB0HHHJ-HS 2GB,26,10.3,7.9,NA
3142,PNY Electronics 8GBBNAUDEBA 8GB,69,7.2,4.8,NA
3143,PNY Electronics 8GBH2X04E99924-15- 8GB,26,13.1,7.9,NA
3144,PNY Electronics 8GBH2X04E99927-15 8GB,26,13.0,8.1,NA
3145,PNY Electronics 8GBH2X04F1AA28-15 8GB,23,13.6,8.5,NA
3146,PNY Electronics 8GBH2X04F91927-15 8GB,25,16.2,10.2,NA
3147,PNY Electronics 8GBH2X04F91928-15- 8GB,67,6.6,4.4,NA
3148,PNY Electronics 8GBH2X04H1BB31-16 8GB,28,14.4,8.9,NA
3149,PNY Electronics 8GBH2X04HAAA28-15- 8GB,26,12.6,8.4,NA
3150,PNY Electronics 8GBH2X04HAAA30-15 8GB,61,6.3,5.2,NA
3151,PNY Electronics 8GBH2X04JACC31-165 8GB,20,15.7,10.7,NA
3152,PNY Electronics PNY 2GB,27,13.8,8.4,$52.34*
3153,"PNY Technologies, Inc.  4GB",45,14.0,9.1,NA
3154,"PNY Technologies, Inc. 4GBH1X04F1AA28-15 4GB",38,14.1,8.5,NA
3155,"PNY Technologies, Inc. 4GBH2X02F9B927-165 4GB",41,14.2,9.3,NA
3156,"PNY Technologies, Inc. 64D0JKHHJ 8GB",41,14.5,9.5,NA
3157,"PNY Technologies, Inc. 64D0JKHNK 8GB",48,14.8,8.6,NA
3158,"PNY Technologies, Inc. 8GBH2X04E99927-15 8GB",42,14.3,8.8,NA
3159,"PNY Technologies, Inc. 8GBH2X04F1AA28-15 8GB",38,16.0,10.2,NA
3160,"PNY Technologies, Inc. 8GBH2X04F91927-15 8GB",35,18.4,10.8,NA
3161,"PNY Technologies, Inc. 8GBH2X04JACC31-165 8GB",41,14.7,11.1,NA
3162,Positivo Informatica Ltd  8GB,26,14.8,8.3,NA
3163,Positivo Informatica Ltd 76.B146G.C0N0C 8GB,71,5.8,2.8,NA
3164,Positivo Informatica Ltd 76.B146G.C340C 4GB,28,13.5,7.7,NA
3165,Positivo Informatica Ltd 76.B346G.C280C 4GB,27,14.3,8.9,NA
3166,Positivo Informatica Ltd AD63I1B0823EV 2GB,105,4.7,2.8,NA
3167,PUSKILL DDR3 1600 8G 8GB,38,16.7,10.0,NA
3168,Qimonda IMSH2GE13A1F1CT13H 2GB,64,7.1,5.3,NA
3169,Ramaxel Technology RMR1781ME68F9F1600 4GB,25,16.0,8.7,NA
3170,Ramaxel Technology RMR1810EC58E8F1333 2GB,36,12.6,8.0,NA
3171,Ramaxel Technology RMR1810KC58E8F1333 2GB,73,6.1,4.3,NA
3172,Ramaxel Technology RMR1870EC58E9F1333 4GB,40,13.6,8.4,NA
3173,Ramaxel Technology RMR1870ED48E8F1066 2GB,23,13.6,12.2,NA
3174,Ramaxel Technology RMR1870EF48E8W1333 2GB,25,12.0,7.8,NA
3175,Ramaxel Technology RMR1881ED58E9W1600 4GB,47,7.4,7.0,NA
3176,Ramaxel Technology RMR5030EB68F9W1600 4GB,44,13.2,8.6,NA
3177,Ramaxel Technology RMR5030ED58E8W1600 2GB,26,14.5,8.7,NA
3178,Ramaxel Technology RMR5030EF68F9W1600 4GB,42,14.2,8.3,NA
3179,Ramaxel Technology RMR5030KD68F9F1600 4GB,29,11.6,6.4,NA
3180,Ramaxel Technology RMR5030KQ68F9F1600 4GB,33,9.1,5.0,NA
3181,Ramaxel Technology RMR5030ME68F9F1600 4GB,41,13.9,8.3,NA
3182,Ramaxel Technology RMR5030MJ68F9F1600 4GB,38,13.8,8.2,NA
3183,Ramaxel Technology RMR5030MM58E8F1600 2GB,48,9.4,7.5,NA
3184,Ramaxel Technology RMR5030MN68F9F1600 4GB,42,13.8,8.2,NA
3185,Ramaxel Technology RMR5040EB68FAW1600 8GB,28,12.8,8.3,NA
3186,Ramaxel Technology RMR5040ED58E9W1600 4GB,43,13.7,9.4,NA
3187,Ramaxel Technology RMR5040ME68FAF1600 8GB,28,11.3,6.6,NA
3188,Ramaxel Technology RMR5040MM58E9F1600 4GB,26,14.7,9.8,NA
3189,Ramaxel Technology RMR5040MM58F9F1600 4GB,38,15.1,9.8,NA
3190,Ramaxel Technology RMT1970ED48E8F1066 2GB,27,11.4,7.1,NA
3191,Ramaxel Technology RMT3010EC58E8F1333 2GB,26,13.5,7.8,NA
3192,Ramaxel Technology RMT3010KD58E8F1333 2GB,30,9.8,6.9,NA
3193,Ramaxel Technology RMT3020EC58E9F1333 4GB,29,9.0,5.7,NA
3194,Ramaxel Technology RMT3020EF48E8W1333 2GB,33,10.0,7.7,NA
3195,Ramaxel Technology RMT3160EB68FAW1600 8GB,29,11.1,7.4,NA
3196,Ramaxel Technology RMT3160ED58E9W1600 4GB,40,12.7,8.7,NA
3197,Ramaxel Technology RMT3160ME68FAF1600 8GB,46,11.7,8.5,NA
3198,Ramaxel Technology RMT3160ME6E6AF1600 8GB,29,9.4,4.7,NA
3199,Ramaxel Technology RMT3170EB68E9W1600 4GB,27,12.8,7.8,NA
3200,Ramaxel Technology RMT3170EB68F9W1600 4GB,43,11.7,8.1,NA
3201,Ramaxel Technology RMT3170EF68F9W1600 4GB,39,12.4,7.8,NA
3202,Ramaxel Technology RMT3170ME68F9F1600 4GB,41,12.6,8.3,NA
3203,Ramaxel Technology RMT3170MN68F9F1600 4GB,42,11.7,7.7,NA
3204,Ramaxel Technology RMT3170MP68F9F1600 4GB,126,5.0,3.1,NA
3205,Ramos Technology EEB4GB681CAE-16IC 4GB,39,8.7,6.8,NA
3206,Ramos Technology EEB8GB681CAE-16IC 8GB,66,6.5,4.8,NA
3207,Ramos Technology EWB4GB681CA3-16IC 4GB,25,15.4,8.5,NA
3208,Ramos Technology EWB4GB681PAE-16IC 4GB,67,6.6,4.6,NA
3209,Ramos Technology EWB8GB681CA3-16IC 8GB,25,15.3,9.8,NA
3210,Ramos Technology EWB8GB681PAE-16IC 8GB,29,13.0,8.9,NA
3211,Ramos Technology RMB2GB484CA4-13HC 2GB,62,7.2,3.8,NA
3212,Ramos Technology RMB4GB584CA3-13HC 4GB,66,6.6,3.8,NA
3213,Ramos Technology RMB4GB58BCA3-13HC 4GB,23,11.6,5.6,NA
3214,Ramos Technology RMB4GB58BCA4-13HC 4GB,27,13.5,8.6,NA
3215,Ramos Technology RMB4GB684CA3-13HC 4GB,71,5.8,3.0,NA
3216,Ramos Technology RMB4GB684CA3-16IC 4GB,27,14.2,8.2,NA
3217,Ramos Technology RMB4GO584CA2-13HL 4GB,29,11.3,8.2,NA
3218,Ramos Technology SEB8GO682CAD-16IC 8GB,29,10.0,5.4,NA
3219,Ramsta Ramsta-1600MHz-8G 8GB,26,15.7,10.1,NA
3220,RCA HM 8GB,29,9.6,5.5,NA
3221,Robert Bosch KHX2400C11D3/4GX 4GB,55,7.0,5.8,NA
3222,Samsung 1600 CL10 Series 8GB,25,16.1,10.1,NA
3223,Samsung 1600 CL9 Series 4GB,25,11.3,5.3,NA
3224,Samsung 16KTF1G64AZ-1G9P1 8GB,65,6.8,5.4,NA
3225,Samsung 1866 CL10 Series 8GB,29,10.8,11.0,NA
3226,Samsung 1866 CL9 Series 4GB,68,6.7,3.8,NA
3227,Samsung 2133 CL11 Series 8GB,25,15.0,10.0,NA
3228,Samsung 2400C11 Series 4GB,61,6.7,4.7,NA
3229,Samsung 9905428-095.D00LF 8GB,41,8.3,5.2,NA
3230,Samsung 9905458-026.A00LF 8GB,27,15.0,9.1,NA
3231,Samsung 99P5471-002.A00LF 2GB,70,7.0,5.4,NA
3232,Samsung 99P5471-041.A00LF 8GB,28,10.7,5.3,NA
3233,Samsung DDR3 8GB 1600MHz 8GB,43,14.9,9.6,NA
3234,Samsung EG07011469-703 8GB,33,8.1,6.1,NA
3235,Samsung F6451U64F9333G 4GB,26,9.1,4.3,NA
3236,Samsung HMT41GS6BFR8A-RD 8GB,23,17.0,12.0,NA
3237,Samsung JICRBOOAN-8G1600PC 8GB,25,13.9,9.2,NA
3238,Samsung KHX1600C10D3/8GXF 8GB,67,6.9,4.8,NA
3239,Samsung M2S4G64CB8HD5N-CG 4GB,42,7.6,6.2,NA
3240,Samsung M378B1G73AH0-CH9 8GB,73,6.1,3.2,NA
3241,Samsung M378B1G73BH0-CH9 8GB,38,13.4,7.8,NA
3242,Samsung M378B1G73BH0-CK0 8GB,41,13.8,9.4,$84.99*
3243,Samsung M378B1G73BH0-YK0 8GB,29,13.6,9.5,NA
3244,Samsung M378B1G73CB0-CK0 8GB,41,13.8,9.0,$45.51*
3245,Samsung M378B1G73DB0-CK0 8GB,43,14.3,9.6,$68.75*
3246,Samsung M378B1G73EB0-CK0 8GB,42,14.3,9.3,$38.00*
3247,Samsung M378B1G73EB0-YK0 8GB,40,15.0,10.0,NA
3248,Samsung M378B1G73QH0-CK0 8GB,42,14.7,9.4,$45.51*
3249,Samsung M378B1G73QH0-YK0 8GB,37,13.0,7.7,NA
3250,Samsung M378B2873FH0-CH9 1GB,27,12.0,6.7,$28.99*
3251,Samsung M378B2873FHS-CH9 1GB,22,12.7,7.5,NA
3252,Samsung M378B2873GB0-CH9 1GB,76,6.8,5.0,NA
3253,Samsung M378B5173BH0-CH9 4GB,23,13.4,8.0,NA
3254,Samsung M378B5173BH0-CK0 4GB,42,14.2,8.4,NA
3255,Samsung M378B5173CB0-CK0 4GB,41,13.6,8.1,NA
3256,Samsung M378B5173DB0-CK0 4GB,42,14.1,8.5,NA
3257,Samsung M378B5173EB0-CK0 4GB,41,14.3,8.5,NA
3258,Samsung M378B5173EB0-YK0 4GB,41,14.6,8.6,NA
3259,Samsung M378B5173QH0-CK0 4GB,43,14.2,8.4,NA
3260,Samsung M378B5173QH0-CMA 4GB,43,12.0,7.6,NA
3261,Samsung M378B5173QH0-YK0 4GB,42,13.1,8.2,NA
3262,Samsung M378B5273BH1-CH9 4GB,25,12.3,8.3,NA
3263,Samsung M378B5273CH0-CH9 4GB,38,12.9,8.0,NA
3264,Samsung M378B5273CH0-CK0 4GB,41,13.8,9.4,NA
3265,Samsung M378B5273DH0-CH9 4GB,41,13.7,8.6,NA
3266,Samsung M378B5273DH0-CK0 4GB,42,13.8,9.4,NA
3267,Samsung M378B5273EB0-CK0 4GB,39,14.1,9.2,NA
3268,Samsung M378B5273TB0-CK0 4GB,27,11.5,7.1,NA
3269,Samsung M378B5673EH1-CF8 2GB,28,12.7,7.5,NA
3270,Samsung M378B5673EH1-CH9 2GB,41,13.0,8.0,NA
3271,Samsung M378B5673FH0-CF8 2GB,42,10.4,7.0,NA
3272,Samsung M378B5673FH0-CH9 2GB,36,14.1,9.2,NA
3273,Samsung M378B5673GB0-CH9 2GB,24,12.9,8.4,NA
3274,Samsung M378B5773CH0-CH9 2GB,41,12.3,7.4,NA
3275,Samsung M378B5773CH0-CK0 2GB,49,10.2,8.2,NA
3276,Samsung M378B5773DH0-CH9 2GB,39,12.4,7.5,NA
3277,Samsung M378B5773DH0-CK0 2GB,42,12.1,9.5,NA
3278,Samsung M378B5773QB0-CK0 2GB,40,13.2,8.3,NA
3279,Samsung M378B5773SB0-CK0 2GB,27,11.0,8.0,NA
3280,Samsung M378B5773TB0-CK0 2GB,95,3.2,2.5,NA
3281,Samsung M379B5273CH0-CH9 4GB,27,13.0,8.0,NA
3282,Samsung M379B5273DH0-YK0 4GB,35,16.1,10.6,NA
3283,Samsung M379B5773DH0-YK0 2GB,25,13.6,9.4,NA
3284,Samsung M386B2K70DM0-YH90 16GB,35,9.2,9.1,$99.00*
3285,Samsung M386B4G70BM0-YH92 32GB,38,8.7,3.8,$159.30*
3286,Samsung M386B4G70DM0-CMA3 32GB,69,9.3,7.4,$108.00*
3287,Samsung M386B4G70DM0-CMA4 32GB,58,9.1,7.8,$102.09*
3288,Samsung M386B4G70DM0-YK03 32GB,33,10.9,7.6,$109.95*
3289,Samsung M386B4G70DM0-YK04 32GB,45,11.1,9.3,$326.40*
3290,Samsung M391B1G73BH0-CK0 8GB,35,14.9,9.6,$60.27*
3291,Samsung M391B1G73BH0-YH9 8GB,19,18.2,12.3,NA
3292,Samsung M391B1G73BH0-YK0 8GB,30,11.3,6.2,$118.50*
3293,Samsung M391B1G73EB0-YK0 8GB,33,9.5,8.2,$99.99*
3294,Samsung M391B1G73QH0-CK0 8GB,36,14.3,9.2,NA
3295,Samsung M391B1G73QH0-CMA 8GB,30,10.9,9.1,$97.50*
3296,Samsung M391B1G73QH0-YK0 8GB,39,14.2,9.4,$99.00*
3297,Samsung M391B2873EH1-CF8 1GB,29,9.8,6.6,$35.64*
3298,Samsung M391B2873FH0-CH9 1GB,65,6.5,4.7,$99.00*
3299,Samsung M391B5173QH0-CMA 4GB,29,12.9,10.1,$21.00*
3300,Samsung M391B5173QH0-YK0 4GB,30,11.7,8.7,$69.00*
3301,Samsung M391B5273BH1-CH9 4GB,64,6.2,3.4,$30.75*
3302,Samsung M391B5273CH0-CH9 4GB,27,13.4,8.4,$34.53*
3303,Samsung M391B5273CH0-YH9 4GB,39,11.7,8.5,$30.75*
3304,Samsung M391B5273DH0-CH9 4GB,27,13.4,8.5,$26.00*
3305,Samsung M391B5273DH0-CK0 4GB,27,12.7,8.9,$24.00*
3306,Samsung M391B5273DH0-YH9 4GB,30,12.9,8.5,$44.00*
3307,Samsung M391B5273DH0-YK0 4GB,29,10.7,10.5,$33.21*
3308,Samsung M391B5673EH1-CF8 2GB,48,12.0,7.3,NA
3309,Samsung M391B5673EH1-CH9 2GB,26,12.8,9.0,$14.00*
3310,Samsung M391B5673FH0-CH9 2GB,28,13.3,8.5,$15.99*
3311,Samsung M391B5773CH0-CH9 2GB,31,9.2,8.6,$8.00*
3312,Samsung M391B5773DH0-CK0 2GB,34,13.2,9.3,$99.00*
3313,Samsung M391B5773DH0-YH9 2GB,28,14.5,8.0,$20.91*
3314,Samsung M392B1G73BH0-YK0 8GB,50,4.5,4.9,NA
3315,Samsung M392B1G73DB0-CMA 8GB,28,10.4,8.0,NA
3316,Samsung M392B1K70CM0-CH9 8GB,27,11.1,7.5,$139.88*
3317,Samsung M392B1K70CM0-YH9 8GB,40,11.0,10.0,$45.00*
3318,Samsung M392B1K70DM0-CK0 8GB,27,11.1,10.2,$39.95*
3319,Samsung M392B1K70DM0-YH9 8GB,29,12.4,9.1,NA
3320,Samsung M392B2G70BM0-CK0 16GB,53,10.1,7.4,NA
3321,Samsung M392B2G70DM0-YH9 16GB,45,5.5,3.4,NA
3322,Samsung M392B5170EM1-CH9 4GB,29,10.5,7.5,$45.00*
3323,Samsung M392B5270CH0-YH9 4GB,30,11.3,8.3,$25.83*
3324,Samsung M392B5273CH0-YH9 4GB,28,9.9,6.8,NA
3325,Samsung M393B1G70BH0-CK0 8GB,51,9.8,8.1,$35.67*
3326,Samsung M393B1G70BH0-YK0 8GB,49,10.2,8.1,$24.00*
3327,Samsung M393B1G70QH0-CK0 8GB,45,10.5,8.7,NA
3328,Samsung M393B1G70QH0-CMA 8GB,47,11.2,8.3,$38.13*
3329,Samsung M393B1G70QH0-YK0 8GB,52,9.8,8.0,$23.37*
3330,Samsung M393B1G73BH0-CMA 8GB,29,10.9,10.2,NA
3331,Samsung M393B1G73BH0-YH9 8GB,33,9.5,8.4,$55.35*
3332,Samsung M393B1G73QH0-CMA 8GB,42,11.5,9.4,$99.00*
3333,Samsung M393B1G73QH0-YK0 8GB,42,10.8,6.9,$99.00*
3334,Samsung M393B1K70BH1-CH9 8GB,43,10.2,7.6,$19.95*
3335,Samsung M393B1K70CH0-CH9 8GB,45,11.3,8.2,$30.44*
3336,Samsung M393B1K70CH0-YH9 8GB,48,10.1,7.9,$29.21*
3337,Samsung M393B1K70CHD-CH9 8GB,49,9.7,7.5,$31.67*
3338,Samsung M393B1K70CHD-MA 8GB,30,10.4,10.2,NA
3339,Samsung M393B1K70CHD-YH9 8GB,44,11.4,8.2,$29.52*
3340,Samsung M393B1K70DH0-CH9 8GB,47,9.6,6.2,$27.99*
3341,Samsung M393B1K70DH0-CK0 8GB,49,10.4,8.2,$34.99*
3342,Samsung M393B1K70DH0-CMA 8GB,46,11.3,8.8,NA
3343,Samsung M393B1K70DH0-YH9 8GB,47,10.0,6.9,$23.95*
3344,Samsung M393B1K70DH0-YK0 8GB,49,10.5,8.5,$19.57*
3345,Samsung M393B1K70EB0-CH9 8GB,53,7.5,7.9,$30.44*
3346,Samsung M393B1K70PH0-YK0 8GB,59,8.0,8.1,$99.00*
