,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),lien
3260,Intel Xeon E5-1428L v2 @ 2.20GHz,"6,255",1358,307.05,$20.37*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1428L+v2+%40+2.20GHz&id=3556
3261,Intel Xeon E5-1603 @ 2.80GHz,"3,457",1953,102.01,$33.89*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1603+%40+2.80GHz&id=1209
3262,Intel Xeon E5-1603 v3 @ 2.80GHz,"4,489",1686,348.53,$12.88*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1603+v3+%40+2.80GHz&id=2457
3264,Intel Xeon E5-1607 @ 3.00GHz,"3,730",1879,323.49,$11.53*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1607+%40+3.00GHz&id=1434
3265,Intel Xeon E5-1607 v2 @ 3.00GHz,"4,184",1759,18.20,$229.95*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1607+v2+%40+3.00GHz&id=2192
3267,Intel Xeon E5-1607 v4 @ 3.10GHz,"5,237",1560,29.42,$178.02*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1607+v4+%40+3.10GHz&id=2885
3268,Intel Xeon E5-1620 @ 3.60GHz,"5,858",1428,13.22,$443.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1620+%40+3.60GHz&id=1210
3269,Intel Xeon E5-1620 v2 @ 3.70GHz,"6,548",1299,21.50,$304.55,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1620+v2+%40+3.70GHz&id=2047
3270,Intel Xeon E5-1620 v3 @ 3.50GHz,"6,998",1230,66.02,$106.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1620+v3+%40+3.50GHz&id=2409
3271,Intel Xeon E5-1620 v4 @ 3.50GHz,"7,395",1173,49.63,$149.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1620+v4+%40+3.50GHz&id=2777
3272,Intel Xeon E5-1630 v3 @ 3.70GHz,"7,400",1172,5.47,"$1,354.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1630+v3+%40+3.70GHz&id=2384
3274,Intel Xeon E5-1650 @ 3.20GHz,"8,090",1090,77.79,$104.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1650+%40+3.20GHz&id=1211
3275,Intel Xeon E5-1650 v2 @ 3.50GHz,"9,336",982,39.23,$238.02,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1650+v2+%40+3.50GHz&id=2066
3276,Intel Xeon E5-1650 v3 @ 3.50GHz,"10,405",905,75.12,$138.51,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1650+v3+%40+3.50GHz&id=2389
3277,Intel Xeon E5-1650 v4 @ 3.60GHz,"11,462",846,26.66,$429.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1650+v4+%40+3.60GHz&id=2838
3278,Intel Xeon E5-1660 @ 3.30GHz,"8,394",1059,31.42,$267.19,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1660+%40+3.30GHz&id=1212
3279,Intel Xeon E5-1660 v2 @ 3.70GHz,"10,281",917,20.60,$498.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1660+v2+%40+3.70GHz&id=2120
3280,Intel Xeon E5-1660 v3 @ 3.00GHz,"12,568",803,31.50,$398.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1660+v3+%40+3.00GHz&id=2412
3281,Intel Xeon E5-1660 v4 @ 3.20GHz,"13,533",750,9.06,"$1,494.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1660+v4+%40+3.20GHz&id=2866
3283,Intel Xeon E5-1680 v3 @ 3.20GHz,"13,086",775,22.18,$589.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1680+v3+%40+3.20GHz&id=2497
3284,Intel Xeon E5-1680 v4 @ 3.40GHz,"13,910",728,9.28,"$1,498.95*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-1680+v4+%40+3.40GHz&id=2869
3286,Intel Xeon E5-2403 @ 1.80GHz,"2,346",2440,8.74,$268.50*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2403+%40+1.80GHz&id=1827
3287,Intel Xeon E5-2403 v2 @ 1.80GHz,"2,873",2201,52.23,$55.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2403+v2+%40+1.80GHz&id=2519
3288,Intel Xeon E5-2407 @ 2.20GHz,"2,658",2284,68.14,$39.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2407+%40+2.20GHz&id=1856
3289,Intel Xeon E5-2407 v2 @ 2.40GHz,"3,504",1942,23.62,$148.35,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2407+v2+%40+2.40GHz&id=2354
3291,Intel Xeon E5-2418L v2 @ 2.00GHz,"5,380",1527,8.86,$607.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2418L+v2+%40+2.00GHz&id=5025
3292,Intel Xeon E5-2420 @ 1.90GHz,"5,023",1594,173.21,$29.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2420+%40+1.90GHz&id=1213
3293,Intel Xeon E5-2420 v2 @ 2.20GHz,"6,375",1334,85.84,$74.27,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2420+v2+%40+2.20GHz&id=2217
3294,Intel Xeon E5-2430 @ 2.20GHz,"5,541",1491,142.06,$39.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2430+%40+2.20GHz&id=1788
3295,Intel Xeon E5-2430 v2 @ 2.50GHz,"7,039",1218,143.65,$49.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2430+v2+%40+2.50GHz&id=2304
3296,Intel Xeon E5-2430L @ 2.00GHz,"5,539",1492,26.21,$211.31*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2430L+%40+2.00GHz&id=3139
3298,Intel Xeon E5-2440 @ 2.40GHz,"6,091",1389,35.83,$170.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2440+%40+2.40GHz&id=2194
3299,Intel Xeon E5-2440 v2 @ 1.90GHz,"7,655",1134,12.66,$604.50*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2440+v2+%40+1.90GHz&id=2411
3300,Intel Xeon E5-2448L v2 @ 1.80GHz,"6,774",1267,4.76,"$1,424.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2448L+v2+%40+1.80GHz&id=3208
3301,Intel Xeon E5-2450 @ 2.10GHz,"7,534",1147,153.75,$49.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2450+%40+2.10GHz&id=2514
3302,Intel Xeon E5-2450 v2 @ 2.50GHz,"9,088",1009,31.89,$284.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2450+v2+%40+2.50GHz&id=3068
3303,Intel Xeon E5-2450L @ 1.80GHz,"5,880",1427,75.39,$78.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2450L+%40+1.80GHz&id=2572
3304,Intel Xeon E5-2470 @ 2.30GHz,"8,295",1065,66.01,$125.66,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2470+%40+2.30GHz&id=2003
3305,Intel Xeon E5-2470 v2 @ 2.40GHz,"10,563",897,352.21,$29.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2470+v2+%40+2.40GHz&id=2715
3306,Intel Xeon E5-2603 @ 1.80GHz,"2,362",2429,81.46,$29.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2603+%40+1.80GHz&id=1771
3307,Intel Xeon E5-2603 v2 @ 1.80GHz,"2,751",2244,53.94,$51.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2603+v2+%40+1.80GHz&id=2420
3308,Intel Xeon E5-2603 v3 @ 1.60GHz,"3,817",1850,735.55,$5.19,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2603+v3+%40+1.60GHz&id=2468
3309,Intel Xeon E5-2603 v4 @ 1.70GHz,"4,695",1642,26.53,$177.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2603+v4+%40+1.70GHz&id=2834
3310,Intel Xeon E5-2608L v3 @ 2.00GHz,"6,415",1325,14.55,$441.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2608L+v3+%40+2.00GHz&id=3173
3311,Intel Xeon E5-2608L v4 @ 1.60GHz,"7,447",1163,20.51,$363.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2608L+v4+%40+1.60GHz&id=5020
3312,Intel Xeon E5-2609 @ 2.40GHz,"2,794",2230,96.36,$29.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2609+%40+2.40GHz&id=1429
3313,Intel Xeon E5-2609 v2 @ 2.50GHz,"3,500",1945,120.68,$29.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2609+v2+%40+2.50GHz&id=2202
3314,Intel Xeon E5-2609 v3 @ 1.90GHz,"4,444",1690,153.24,$29.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2609+v3+%40+1.90GHz&id=2427
3315,Intel Xeon E5-2609 v4 @ 1.70GHz,"5,443",1510,139.56,$39.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2609+v4+%40+1.70GHz&id=2850
3316,Intel Xeon E5-2618L v3 @ 2.30GHz,"10,881",881,10.56,"$1,029.95*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2618L+v3+%40+2.30GHz&id=2965
3317,Intel Xeon E5-2618L v4 @ 2.20GHz,"12,406",806,13.75,$902.20*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2618L+v4+%40+2.20GHz&id=3101
3318,Intel Xeon E5-2620 @ 2.00GHz,"5,286",1545,68.65,$77.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2620+%40+2.00GHz&id=1214
3319,Intel Xeon E5-2620 v2 @ 2.10GHz,"6,253",1359,215.61,$29.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2620+v2+%40+2.10GHz&id=2051
3320,Intel Xeon E5-2620 v3 @ 2.40GHz,"7,808",1117,601.09,$12.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2620+v3+%40+2.40GHz&id=2418
3321,Intel Xeon E5-2620 v4 @ 2.10GHz,"9,130",1001,186.32,$49.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2620+v4+%40+2.10GHz&id=2766
3322,Intel Xeon E5-2623 v3 @ 3.00GHz,"6,790",1264,29.53,$229.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2623+v3+%40+3.00GHz&id=2492
3323,Intel Xeon E5-2623 v4 @ 2.60GHz,"6,880",1247,695.68,$9.89,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2623+v4+%40+2.60GHz&id=2808
3327,Intel Xeon E5-2628L v4 @ 1.90GHz,"11,079",866,8.12,"$1,364.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2628L+v4+%40+1.90GHz&id=2964
3328,Intel Xeon E5-2629 v3 @ 2.40GHz,"9,139",999,18.28,$499.88*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2629+v3+%40+2.40GHz&id=2867
3329,Intel Xeon E5-2630 @ 2.30GHz,"6,117",1385,210.92,$29.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2630+%40+2.30GHz&id=1215
3330,Intel Xeon E5-2630 v2 @ 2.60GHz,"7,486",1155,576.29,$12.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2630+v2+%40+2.60GHz&id=2052
3331,Intel Xeon E5-2630 v3 @ 2.40GHz,"10,382",907,692.58,$14.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2630+v3+%40+2.40GHz&id=2386
3332,Intel Xeon E5-2630 v4 @ 2.20GHz,"11,714",836,781.49,$14.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2630+v4+%40+2.20GHz&id=2758
3333,Intel Xeon E5-2630L @ 2.00GHz,"5,305",1541,102.37,$51.82*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2630L+%40+2.00GHz&id=2222
3334,Intel Xeon E5-2630L v2 @ 2.40GHz,"6,701",1279,80.68,$83.06*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2630L+v2+%40+2.40GHz&id=2435
3335,Intel Xeon E5-2630L v3 @ 1.80GHz,"8,834",1023,111.82,$79.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2630L+v3+%40+1.80GHz&id=2818
3336,Intel Xeon E5-2630L v4 @ 1.80GHz,"10,491",901,81.33,$129.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2630L+v4+%40+1.80GHz&id=2914
3337,Intel Xeon E5-2637 @ 3.00GHz,"2,978",2158,37.69,$79.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2637+%40+3.00GHz&id=3236
3338,Intel Xeon E5-2637 v2 @ 3.50GHz,"6,416",1324,71.32,$89.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2637+v2+%40+3.50GHz&id=2178
3339,Intel Xeon E5-2637 v3 @ 3.50GHz,"7,259",1191,186.13,$39.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2637+v3+%40+3.50GHz&id=2383
3340,Intel Xeon E5-2637 v4 @ 3.50GHz,"7,385",1174,189.35,$39.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2637+v4+%40+3.50GHz&id=2790
3341,Intel Xeon E5-2640 @ 2.50GHz,"6,321",1348,217.96,$29.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2640+%40+2.50GHz&id=1216
3342,Intel Xeon E5-2640 v2 @ 2.00GHz,"7,636",1137,76.36,$100.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2640+v2+%40+2.00GHz&id=2153
3343,Intel Xeon E5-2640 v3 @ 2.60GHz,"11,176",859,860.38,$12.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2640+v3+%40+2.60GHz&id=2365
3344,Intel Xeon E5-2640 v4 @ 2.40GHz,"12,212",812,61.06,$200.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2640+v4+%40+2.40GHz&id=2752
3345,Intel Xeon E5-2643 @ 3.30GHz,"5,425",1515,2.85,"$1,905.15",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2643+%40+3.30GHz&id=1217
3346,Intel Xeon E5-2643 v2 @ 3.50GHz,"9,134",1000,457.83,$19.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2643+v2+%40+3.50GHz&id=2084
3347,Intel Xeon E5-2643 v3 @ 3.40GHz,"10,437",904,497.25,$20.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2643+v3+%40+3.40GHz&id=2479
3348,Intel Xeon E5-2643 v4 @ 3.40GHz,"11,123",861,35.88,$310.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2643+v4+%40+3.40GHz&id=2811
3350,Intel Xeon E5-2648L v2 @ 1.90GHz,"8,828",1024,9.34,$945.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2648L+v2+%40+1.90GHz&id=3157
3351,Intel Xeon E5-2648L v3 @ 1.80GHz,"9,847",943,16.40,$600.53*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2648L+v3+%40+1.80GHz&id=2748
3352,Intel Xeon E5-2648L v4 @ 1.80GHz,"11,547",841,8.34,"$1,384.57*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2648L+v4+%40+1.80GHz&id=3044
3354,Intel Xeon E5-2650 @ 2.00GHz,"7,417",1167,255.75,$29.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2650+%40+2.00GHz&id=1218
3355,Intel Xeon E5-2650 v2 @ 2.60GHz,"9,943",938,254.94,$39.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2650+v2+%40+2.60GHz&id=2042
3356,Intel Xeon E5-2650 v3 @ 2.30GHz,"11,995",824,750.14,$15.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2650+v3+%40+2.30GHz&id=2344
3357,Intel Xeon E5-2650 v4 @ 2.20GHz,"13,833",736,354.69,$39.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2650+v4+%40+2.20GHz&id=2797
3358,Intel Xeon E5-2650L @ 1.80GHz,"6,005",1413,207.06,$29.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2650L+%40+1.80GHz&id=1776
3359,Intel Xeon E5-2650L v2 @ 1.70GHz,"7,586",1143,194.51,$39.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2650L+v2+%40+1.70GHz&id=2989
3360,Intel Xeon E5-2650L v3 @ 1.80GHz,"11,926",826,8.74,"$1,365.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2650L+v3+%40+1.80GHz&id=2588
3361,Intel Xeon E5-2650L v4 @ 1.70GHz,"12,646",800,21.21,$596.32,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2650L+v4+%40+1.70GHz&id=3054
3362,Intel Xeon E5-2651 v2 @ 1.80GHz,"9,408",974,33.83,$278.10*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2651+v2+%40+1.80GHz&id=2739
3363,Intel Xeon E5-2658 @ 2.10GHz,"6,073",1396,4.50,"$1,350.70*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2658+%40+2.10GHz&id=1487
3364,Intel Xeon E5-2658 v2 @ 2.40GHz,"10,559",898,83.31,$126.74*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2658+v2+%40+2.40GHz&id=2110
3367,Intel Xeon E5-2658A v3 @ 2.20GHz,"14,879",677,8.12,"$1,832.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2658A+v3+%40+2.20GHz&id=3501
3368,Intel Xeon E5-2660 @ 2.20GHz,"8,138",1085,"1,345.08",$6.05,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2660+%40+2.20GHz&id=1219
3369,Intel Xeon E5-2660 v2 @ 2.20GHz,"10,568",895,75.45,$140.07*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2660+v2+%40+2.20GHz&id=2184
3370,Intel Xeon E5-2660 v3 @ 2.60GHz,"13,189",770,139.90,$94.28,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2660+v3+%40+2.60GHz&id=2359
3371,Intel Xeon E5-2660 v4 @ 2.00GHz,"16,005",631,231.95,$69.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2660+v4+%40+2.00GHz&id=2881
3373,Intel Xeon E5-2665 @ 2.40GHz,"8,237",1073,56.34,$146.21,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2665+%40+2.40GHz&id=1439
3375,Intel Xeon E5-2667 @ 2.90GHz,"7,511",1151,80.27,$93.58,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2667+%40+2.90GHz&id=1488
3376,Intel Xeon E5-2667 v2 @ 3.30GHz,"12,303",809,42.43,$289.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2667+v2+%40+3.30GHz&id=2154
3377,Intel Xeon E5-2667 v3 @ 3.20GHz,"12,552",804,66.41,$189.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2667+v3+%40+3.20GHz&id=2441
3378,Intel Xeon E5-2667 v4 @ 3.20GHz,"13,897",729,18.90,$735.32,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2667+v4+%40+3.20GHz&id=2830
3380,Intel Xeon E5-2670 @ 2.60GHz,"8,930",1019,496.39,$17.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2670+%40+2.60GHz&id=1220
3381,Intel Xeon E5-2670 v2 @ 2.50GHz,"11,359",849,437.05,$25.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2670+v2+%40+2.50GHz&id=2152
3382,Intel Xeon E5-2670 v3 @ 2.30GHz,"13,798",739,353.79,$39.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2670+v3+%40+2.30GHz&id=2337
3384,Intel Xeon E5-2673 v3 @ 2.40GHz,"14,346",712,20.49,$700.00*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2673+v3+%40+2.40GHz&id=2606
3385,Intel Xeon E5-2673 v4 @ 2.30GHz,"21,576",420,11.06,"$1,950.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2673+v4+%40+2.30GHz&id=2888
3389,Intel Xeon E5-2678 v3 @ 2.50GHz,"14,708",687,138.50,$106.19*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2678+v3+%40+2.50GHz&id=2584
3390,Intel Xeon E5-2679 v4 @ 2.50GHz,"24,131",336,8.93,"$2,702.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2679+v4+%40+2.50GHz&id=2805
3391,Intel Xeon E5-2680 @ 2.70GHz,"9,414",973,324.62,$29.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2680+%40+2.70GHz&id=1221
3392,Intel Xeon E5-2680 v2 @ 2.80GHz,"12,612",801,323.39,$39.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2680+v2+%40+2.80GHz&id=2061
3393,Intel Xeon E5-2680 v3 @ 2.50GHz,"15,284",661,84.91,$180.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2680+v3+%40+2.50GHz&id=2390
3394,Intel Xeon E5-2680 v4 @ 2.40GHz,"17,944",552,239.57,$74.90,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2680+v4+%40+2.40GHz&id=2779
3397,Intel Xeon E5-2683 v3 @ 2.00GHz,"14,830",679,17.01,$871.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2683+v3+%40+2.00GHz&id=2491
3398,Intel Xeon E5-2683 v4 @ 2.10GHz,"17,714",562,72.30,$245.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2683+v4+%40+2.10GHz&id=2908
3402,Intel Xeon E5-2687W @ 3.10GHz,"9,997",931,15.39,$649.45,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2687W+%40+3.10GHz&id=1222
3403,Intel Xeon E5-2687W v2 @ 3.40GHz,"12,184",815,30.22,$403.19,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2687W+v2+%40+3.40GHz&id=2045
3404,Intel Xeon E5-2687W v3 @ 3.10GHz,"14,676",689,24.56,$597.45,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2687W+v3+%40+3.10GHz&id=2387
3405,Intel Xeon E5-2687W v4 @ 3.00GHz,"18,208",543,19.58,$930.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2687W+v4+%40+3.00GHz&id=2765
3406,Intel Xeon E5-2689 @ 2.60GHz,"9,730",951,53.24,$182.75*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2689+%40+2.60GHz&id=1881
3408,Intel Xeon E5-2690 @ 2.90GHz,"9,745",949,249.87,$39.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2690+%40+2.90GHz&id=1223
3409,Intel Xeon E5-2690 v2 @ 3.00GHz,"13,457",756,181.87,$73.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2690+v2+%40+3.00GHz&id=2057
3410,Intel Xeon E5-2690 v3 @ 2.60GHz,"16,507",608,336.88,$49.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2690+v3+%40+2.60GHz&id=2364
3411,Intel Xeon E5-2690 v4 @ 2.60GHz,"19,826",480,42.05,$471.45,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2690+v4+%40+2.60GHz&id=2780
3413,Intel Xeon E5-2695 v2 @ 2.40GHz,"13,230",766,178.81,$73.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2695+v2+%40+2.40GHz&id=2114
3414,Intel Xeon E5-2695 v3 @ 2.30GHz,"16,734",599,78.49,$213.19,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2695+v3+%40+2.30GHz&id=2371
3415,Intel Xeon E5-2695 v4 @ 2.10GHz,"19,475",494,40.79,$477.45,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2695+v4+%40+2.10GHz&id=2846
3417,Intel Xeon E5-2696 v3 @ 2.30GHz,"22,899",378,41.86,$546.99*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2696+v3+%40+2.30GHz&id=2526
3418,Intel Xeon E5-2696 v4 @ 2.20GHz,"24,719",324,12.63,"$1,957.18",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2696+v4+%40+2.20GHz&id=2750
3419,Intel Xeon E5-2697 v2 @ 2.70GHz,"14,309",714,86.72,$165.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2697+v2+%40+2.70GHz&id=2009
3420,Intel Xeon E5-2697 v3 @ 2.60GHz,"18,917",512,111.28,$170.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2697+v3+%40+2.60GHz&id=2333
3421,Intel Xeon E5-2697 v4 @ 2.30GHz,"20,458",460,48.48,$422.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2697+v4+%40+2.30GHz&id=2783
3424,Intel Xeon E5-2698 v3 @ 2.30GHz,"18,853",513,2.40,"$7,840.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2698+v3+%40+2.30GHz&id=2368
3425,Intel Xeon E5-2698 v4 @ 2.20GHz,"23,520",355,25.88,$908.70*,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2698+v4+%40+2.20GHz&id=2806
3428,Intel Xeon E5-2699 v3 @ 2.30GHz,"20,362",465,34.51,$589.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E5-2699+v3+%40+2.30GHz&id=2366
