Amenity,Frequency
Fast wifi – 75 Mbps,5
Fast wifi – 233 Mbps,5
Fast wifi – 536 Mbps,5
Liebherr  refrigerator,5
UE BOOM Bluetooth sound system,5
Fast wifi – 179 Mbps,5
Rosières stainless steel oven,5
Fast wifi – 225 Mbps,5
Le petit Marseillais  body soap,5
L.A. Bruket shampoo,5
Fast wifi – 275 Mbps,5
L'oreal conditioner,5
Fast wifi – 352 Mbps,5
Fast wifi – 489 Mbps,5
Fast wifi – 317 Mbps,5
Fast wifi – 356 Mbps,5
Roger cavailles body soap,5
Fast wifi – 177 Mbps,5
Wifi – 4 Mbps,5
Fast wifi – 571 Mbps,5
Fast wifi – 248 Mbps,5
Kerastase shampoo,5
Fast wifi – 441 Mbps,5
Candy  refrigerator,5
Fast wifi – 71 Mbps,5
Fast wifi – 392 Mbps,5
Marseille shampoo,5
Fast wifi – 175 Mbps,5
Fast wifi – 443 Mbps,5
Bosh single oven,5
Hotpoint refrigerator,5
Continental Edison refrigerator,5
Fast wifi – 67 Mbps,5
Fast wifi – 97 Mbps,5
46 HDTV with Amazon Prime Video,5
Monoprix  body soap,5
25 TV with standard cable,5
SAUTER stainless steel oven,5
Fast wifi – 238 Mbps,5
Fast wifi – 205 Mbps,5
Panasonic sound system with Bluetooth and aux,5
Casino body soap,5
Fast wifi – 510 Mbps,5
70 HDTV with standard cable,5
Fast wifi – 87 Mbps,5
52 HDTV,5
Garnier,5
Axe body soap,5
Fast wifi – 224 Mbps,5
Petit Marseillais conditioner,5
Backyard - Fully fenced,5
. body soap,5
Fast wifi – 304 Mbps,5
NEFF oven,5
Game console: Nintendo Wii and PS4,5
Electrolux stainless steel gas stove,5
Fast wifi – 108 Mbps,5
Standard body soap,5
NC shampoo,5
Fast wifi – 358 Mbps,5
Fast wifi – 414 Mbps,5
Fast wifi – 192 Mbps,5
Savon  body soap,5
Fast wifi – 79 Mbps,5
AEG stainless steel induction stove,5
43 TV with Chromecast,5
Fast wifi – 423 Mbps,5
Fast wifi – 459 Mbps,5
Fast wifi – 630 Mbps,5
Fast wifi – 258 Mbps,5
Garnier body soap,5
Philips refrigerator,5
56 HDTV,5
65 HDTV with Disney+,5
Fast wifi – 166 Mbps,5
Fast wifi – 490 Mbps,5
HAIER refrigerator,5
27 HDTV with Amazon Prime Video,5
La Roche Posay body soap,5
Evoluderm shampoo,5
40 TV with standard cable,5
Electrolux single oven,5
52 HDTV with Netflix,5
Harman kardon Bluetooth sound system,5
Fast wifi – 58 Mbps,5
Fast wifi – 486 Mbps,5
Shower gel body soap,5
L’Oréal conditioner,5
Sanex shampoo,5
Fast wifi – 298 Mbps,5
. refrigerator,5
Cattier body soap,5
Fast wifi – 211 Mbps,5
Alexa Bluetooth sound system,5
Fast wifi – 542 Mbps,5
Fast wifi – 201 Mbps,5
Fast wifi – 460 Mbps,5
Fast wifi – 303 Mbps,5
Fast wifi – 256 Mbps,5
28 HDTV,5
Fast wifi – 203 Mbps,5
80 HDTV,5
Schneider  refrigerator,5
Fast wifi – 357 Mbps,5
Ikea single oven,5
Fast wifi – 427 Mbps,5
WHIRLPOOL stainless steel oven,5
Whirlpool stainless steel gas stove,5
Boulanger refrigerator,5
50 HDTV with Disney+,5
Fast wifi – 220 Mbps,5
Avene body soap,5
Fast wifi – 434 Mbps,5
JBL sound system with aux,5
Paid clamp on table seat high chair - available upon request,5
ELECTROLUX stainless steel oven,5
Fast wifi – 450 Mbps,5
L'oréal shampoo,5
Provost conditioner,5
Petit Marseillais  shampoo,5
Bosch single oven,5
Whirlpool stainless steel double oven,5
Fast wifi – 96 Mbps,4
Fast wifi – 342 Mbps,4
Hermes body soap,4
Whirlpool gas stove,4
Dessange conditioner,4
24 HDTV with standard cable,4
Fast wifi – 305 Mbps,4
Neff stainless steel single oven,4
Alexa sound system,4
Fast wifi – 101 Mbps,4
SONY Bluetooth sound system,4
MIELE oven,4
Petit marseillais conditioner,4
60 HDTV with Apple TV,4
Fast wifi – 365 Mbps,4
SONY sound system with aux,4
Fast wifi – 158 Mbps,4
L’oreal conditioner,4
28 HDTV with standard cable,4
115 HDTV with standard cable,4
X conditioner,4
PROLINE refrigerator,4
120 HDTV with standard cable,4
Bosch stove,4
50 HDTV with DVD player,4
Siemens stainless steel double oven,4
Fast wifi – 493 Mbps,4
Head and shoulders  shampoo,4
Fast wifi – 470 Mbps,4
L'Oreal conditioner,4
Fast wifi – 376 Mbps,4
Fast wifi – 148 Mbps,4
Fast wifi – 406 Mbps,4
50 TV with Netflix,4
Fast wifi – 249 Mbps,4
35 TV with standard cable,4
Fast wifi – 419 Mbps,4
Fast wifi – 232 Mbps,4
Fast wifi – 111 Mbps,4
Horace conditioner,4
Rosières oven,4
Siemens  oven,4
Yves rocher body soap,4
Game console: PS4 and Xbox 360,4
Basic body soap,4
Fast wifi – 243 Mbps,4
Fast wifi – 181 Mbps,4
Fast wifi – 88 Mbps,4
Fast wifi – 388 Mbps,4
80 HDTV with Chromecast,4
Fast wifi – 109 Mbps,4
Fast wifi – 301 Mbps,4
Rosieres stainless steel electric stove,4
Fast wifi – 396 Mbps,4
Fast wifi – 323 Mbps,4
Fast wifi – 164 Mbps,4
Fast wifi – 223 Mbps,4
Marantz sound system with aux,4
Fast wifi – 197 Mbps,4
Fast wifi – 422 Mbps,4
33 HDTV,4
Fast wifi – 80 Mbps,4
Fast wifi – 74 Mbps,4
Fast wifi – 190 Mbps,4
Fast wifi – 446 Mbps,4
Fast wifi – 481 Mbps,4
Fast wifi – 553 Mbps,4
Variable conditioner,4
Plusieurs body soap,4
Ikéa refrigerator,4
Caudalie body soap,4
L'oréal conditioner,4
Fast wifi – 562 Mbps,4
47 HDTV with premium cable,4
Fast wifi – 371 Mbps,4
Beach access – Beachfront,4
Fast wifi – 360 Mbps,4
L’Oreal  conditioner,4
Airlux induction stove,4
22 TV,4
Fast wifi – 85 Mbps,4
Darty refrigerator,4
Fast wifi – 498 Mbps,4
YAMAHA sound system with aux,4
Technics sound system with aux,4
Fast wifi – 399 Mbps,4
Fast wifi – 461 Mbps,4
Fast wifi – 582 Mbps,4
Cien body soap,4
Fast wifi – 56 Mbps,4
Fast wifi – 105 Mbps,4
70 HDTV with Netflix,4
Fast wifi – 395 Mbps,4
Fast wifi – 815 Mbps,4
36 HDTV with premium cable,4
DENON Bluetooth sound system,4
Wifi – 45 Mbps,4
55 TV with standard cable,4
Fast wifi – 444 Mbps,4
Fast wifi – 125 Mbps,4
Gaggenau induction stove,4
Desert view,4
Fast wifi – 271 Mbps,4
Bosch  refrigerator,4
Fast wifi – 415 Mbps,4
80 TV with standard cable,4
Brandt electric stove,4
Fast wifi – 206 Mbps,4
Fast wifi – 488 Mbps,4
Sauter stainless steel single oven,4
Fast wifi – 380 Mbps,4
32 HDTV with Fire TV,4
Scholtes oven,4
Beko  refrigerator,4
Fast wifi – 551 Mbps,4
Arthur Martin refrigerator,4
Fast wifi – 162 Mbps,4
Boss Bluetooth sound system,4
Fast wifi – 270 Mbps,4
45 HDTV with Chromecast,4
KEF Bluetooth sound system,4
Marshall Stanmore II sound system with Bluetooth and aux,4
Léa Nature shampoo,4
De dietrich oven,4
Fast wifi – 213 Mbps,4
Fast wifi – 379 Mbps,4
55 HDTV with Fire TV,4
Fast wifi – 372 Mbps,4
Fast wifi – 254 Mbps,4
Uriage shampoo,4
Marantz Bluetooth sound system,4
Fast wifi – 514 Mbps,4
Fast wifi – 77 Mbps,4
55 TV with Netflix,4
INDESIT refrigerator,4
Sharp refrigerator,4
Fast wifi – 543 Mbps,4
400 HDTV with Amazon Prime Video,4
Weleda shampoo,4
Miele stainless steel induction stove,4
Samsung double oven,4
100 HDTV with Chromecast,4
Fast wifi – 139 Mbps,4
Fast wifi – 431 Mbps,4
Basic shampoo,4
60 TV,4
Fast wifi – 491 Mbps,4
Proline  refrigerator,4
Proline stainless steel oven,4
47 HDTV with Netflix,4
Fast wifi – 378 Mbps,4
Fast wifi – 440 Mbps,4
Fast wifi – 210 Mbps,4
Fast wifi – 178 Mbps,4
Fast wifi – 519 Mbps,4
Fast wifi – 173 Mbps,4
Petit marseillais  conditioner,4
Fast wifi – 63 Mbps,4
BIO shampoo,4
Fast wifi – 812 Mbps,4
Fast wifi – 199 Mbps,4
La Roche-Posay body soap,4
Fast wifi – 264 Mbps,4
Fast wifi – 487 Mbps,4
49 HDTV,4
L’oreal  conditioner,4
Bang & Olufsen sound system with Bluetooth and aux,4
Fast wifi – 520 Mbps,4
Fast wifi – 279 Mbps,4
Siemens  stainless steel single oven,4
50 TV,4
Soap body soap,4
Frigo refrigerator,4
44 HDTV with Amazon Prime Video,4
Bio  shampoo,4
Candy induction stove,4
Bosch  stainless steel oven,4
Grown Alchemist shampoo,4
Grown Alchemist conditioner,4
36 HDTV,4
Jbl sound system with Bluetooth and aux,4
46 HDTV with Chromecast,4
Cattier shampoo,4
Fast wifi – 82 Mbps,4
Le petit Marseillais shampoo,4
Organic conditioner,4
Fast wifi – 615 Mbps,4
USU body soap,4
Fast wifi – 600 Mbps,4
DOP body soap,4
42 TV,4
LG sound system with Bluetooth and aux,4
NUXE shampoo,4
Hotelify body soap,4
Hotelify shampoo,4
Cien shampoo,4
Fast wifi – 251 Mbps,4
L’oreal  shampoo,4
Fast wifi – 244 Mbps,4
Garnier  shampoo,4
Garnier  conditioner,4
- shampoo,4
27 HDTV with Netflix,4
Fast wifi – 330 Mbps,4
Fast wifi – 607 Mbps,4
UE Boom Bluetooth sound system,4
Provost shampoo,4
Fast wifi – 309 Mbps,4
Bioderma shampoo,4
KEF sound system with Bluetooth and aux,4
22 HDTV,4
Elsève shampoo,4
Yves Rocher  body soap,4
Listo refrigerator,4
Fast wifi – 593 Mbps,4
Head&Shoulders shampoo,4
Fast wifi – 187 Mbps,4
Fast wifi – 420 Mbps,4
FAR refrigerator,4
Ikea stainless steel single oven,4
Le petit marseillais conditioner,4
Casino conditioner,4
Fast wifi – 398 Mbps,4
Sauter single oven,4
Lg refrigerator,4
NC body soap,4
BOSCH single oven,4
LOCASA shampoo,4
LOCASA body soap,4
Coslys body soap,4
Coslys shampoo,4
Petit four oven,3
Fast wifi – 355 Mbps,3
Scholtès electric stove,3
Ariston oven,3
35 HDTV with standard cable,3
Fast wifi – 581 Mbps,3
200 HDTV with Amazon Prime Video,3
La vie claire shampoo,3
L’oreal shampoo,3
SMEG stainless steel double oven,3
46 HDTV with premium cable,3
Game console: PS3 and PS5,3
Paid parking on premises – 1 space,3
MARSHALL sound system with Bluetooth and aux,3
Faure gas stove,3
ROSIERES electric stove,3
Fast wifi – 344 Mbps,3
Whirlpool  induction stove,3
37 HDTV with standard cable,3
Ikea electric stove,3
Faure induction stove,3
Fast wifi – 189 Mbps,3
52 HDTV with standard cable,3
LG stainless steel oven,3
Mini four oven,3
40 TV with DVD player,3
Electrolux gas stove,3
Fast wifi – 99 Mbps,3
Fast wifi – 626 Mbps,3
Rosiere stainless steel oven,3
Wifi – 3 Mbps,3
IKEA  induction stove,3
Philips sound system with aux,3
Cavailles body soap,3
Fast wifi – 368 Mbps,3
50 TV with Amazon Prime Video,3
Bosch stainless steel induction stove,3
22 HDTV with standard cable,3
ANIOS body soap,3
39 HDTV with Netflix,3
Fast wifi – 509 Mbps,3
Free driveway parking on premises – 3 spaces,3
Fast wifi – 604 Mbps,3
Essentiel B refrigerator,3
Fast wifi – 267 Mbps,3
19 HDTV with standard cable,3
32 HDTV with Apple TV,3
20 TV with standard cable,3
60 TV with Netflix,3
Liquide body soap,3
Paid parking garage on premises – 50 spaces,3
Fast wifi – 548 Mbps,3
Paid parking lot on premises – 15 spaces,3
70 HDTV,3
Fast wifi – 81 Mbps,3
Sauter electric stove,3
48 HDTV with Chromecast,3
BOSE sound system,3
Fast wifi – 337 Mbps,3
Mixa shampoo,3
PS3,3
and PS4,3
Fast wifi – 609 Mbps,3
Fast wifi – 545 Mbps,3
Fast wifi – 385 Mbps,3
Biologique body soap,3
Fragonard body soap,3
IKEA oven,3
BOSCH oven,3
Arthur Martin oven,3
38 HDTV with Netflix,3
Gaggenau stainless steel gas stove,3
Fast wifi – 207 Mbps,3
Fast wifi – 557 Mbps,3
Fast wifi – 102 Mbps,3
Fast wifi – 193 Mbps,3
Miele  refrigerator,3
Siemens  stainless steel oven,3
Miele  oven,3
Marantz  sound system with Bluetooth and aux,3
Fast wifi – 763 Mbps,3
Horace body soap,3
ARISTON stainless steel oven,3
Fast wifi – 171 Mbps,3
Fast wifi – 502 Mbps,3
Fast wifi – 526 Mbps,3
34 HDTV,3
Head&shoulders shampoo,3
Lieber refrigerator,3
Fast wifi – 226 Mbps,3
Classique shampoo,3
Fast wifi – 524 Mbps,3
Bosch stainless steel gas stove,3
Nuxe  body soap,3
Fast wifi – 332 Mbps,3
Fast wifi – 231 Mbps,3
Rosières  oven,3
Fast wifi – 351 Mbps,3
Google home Bluetooth sound system,3
Fast wifi – 677 Mbps,3
Fast wifi – 165 Mbps,3
120 TV,3
33 TV,3
Yamaha  sound system with aux,3
Fast wifi – 252 Mbps,3
BOSCH induction stove,3
Samsung sound system,3
SONOS sound system with Bluetooth and aux,3
Inconnue body soap,3
25 TV,3
Philipps sound system with aux,3
Fast wifi – 462 Mbps,3
L'Oréal,3
54 HDTV with Amazon Prime Video,3
? oven,3
Fast wifi – 400 Mbps,3
Golf course view,3
Ocean view,3
Fast wifi – 188 Mbps,3
42 TV with standard cable,3
125 HDTV with standard cable,3
GE refrigerator,3
Gym in building,3
Vedette refrigerator,3
JBL  Bluetooth sound system,3
Fast wifi – 172 Mbps,3
Fast wifi – 325 Mbps,3
39 HDTV with standard cable,3
Cabasse sound system with Bluetooth and aux,3
Aesop  conditioner,3
Ikea stainless steel induction stove,3
Housekeeping available every day - included with your stay,3
Fast wifi – 72 Mbps,3
CADUM body soap,3
GEL DOUCHE body soap,3
80 TV,3
Backyard - Not fully fenced,3
Fast wifi – 472 Mbps,3
Fast wifi – 624 Mbps,3
32 TV with premium cable,3
Fast wifi – 496 Mbps,3
Sauter  induction stove,3
Shampooing  shampoo,3
23 HDTV with Netflix,3
Fast wifi – 266 Mbps,3
16 HDTV with Amazon Prime Video,3
Fast wifi – 408 Mbps,3
Fast wifi – 277 Mbps,3
BRANDT oven,3
28 HDTV with premium cable,3
Fast wifi – 404 Mbps,3
75 HDTV with standard cable,3
Faure single oven,3
Fast wifi – 469 Mbps,3
Fast wifi – 374 Mbps,3
56 HDTV with Apple TV,3
Fast wifi – 742 Mbps,3
110 HDTV with Chromecast,3
BOSCH stainless steel double oven,3
41 HDTV with Netflix,3
30 HDTV with Apple TV,3
Carrefour body soap,3
Fast wifi – 570 Mbps,3
SMEG stainless steel single oven,3
Fast wifi – 76 Mbps,3
Fast wifi – 558 Mbps,3
Sans marque body soap,3
Rowenta oven,3
Fast wifi – 853 Mbps,3
Divers  body soap,3
Klipsch sound system with Bluetooth and aux,3
HDTV with HBO Max,3
Tangent Bluetooth sound system,3
Samsung stainless steel induction stove,3
Fast wifi – 382 Mbps,3
SONOS Wifi sound system,3
Fast wifi – 326 Mbps,3
Fast wifi – 246 Mbps,3
Logitech sound system with aux,3
Beko induction stove,3
Panasonic Bluetooth sound system,3
Fast wifi – 311 Mbps,3
30 TV with Netflix,3
39 HDTV with Amazon Prime Video,3
Lidl conditioner,3
Rosieres stainless steel oven,3
Saba refrigerator,3
Liebher refrigerator,3
Game console: Nintendo Switch and Xbox Series X,3
Fast wifi – 168 Mbps,3
Tahiti  body soap,3
Miel refrigerator,3
Whirlpool stainless steel electric stove,3
Fast wifi – 596 Mbps,3
24 TV with Amazon Prime Video,3
Fast wifi – 78 Mbps,3
FOUR MICRO-ONDES GRILL oven,3
Fast wifi – 531 Mbps,3
82 HDTV with Amazon Prime Video,3
20 HDTV with Amazon Prime Video,3
Breakfast bar,3
Fast wifi – 405 Mbps,3
L'Oreal body soap,3
120 HDTV with Disney+,3
Fast wifi – 120 Mbps,3
40 HDTV with Disney+,3
Fast wifi – 587 Mbps,3
Fast wifi – 103 Mbps,3
Fast wifi – 418 Mbps,3
Fast wifi – 324 Mbps,3
Byphasse body soap,3
Fast wifi – 573 Mbps,3
Fast wifi – 154 Mbps,3
L’Oreal shampoo,3
Na shampoo,3
30 HDTV with Chromecast,3
140 HDTV with Netflix,3
Paid parking lot on premises – 20 spaces,3
SONY sound system,3
ROSIERES stainless steel oven,3
Fast wifi – 410 Mbps,3
LaBottega body soap,3
LaBottega shampoo,3
Fast wifi – 202 Mbps,3
Philips sound system with Bluetooth and aux,3
Fast wifi – 285 Mbps,3
26 HDTV,3
Fast wifi – 149 Mbps,3
Biologique  body soap,3
Na refrigerator,3
60 HDTV,3
30 TV with Amazon Prime Video,3
Fast wifi – 137 Mbps,3
Aroma zone shampoo,3
Fast wifi – 535 Mbps,3
Fast wifi – 627 Mbps,3
Fast wifi – 89 Mbps,3
Fast wifi – 112 Mbps,3
Fast wifi – 117 Mbps,3
Fast wifi – 561 Mbps,3
Fast wifi – 466 Mbps,3
35 TV,3
Fast wifi – 387 Mbps,3
Game console: Nintendo Switch and Xbox One,3
Game console: PS3 and PS4,3
56 HDTV with Netflix,3
What Matters body soap,3
Ushuaïa shampoo,3
SAMSUNG oven,3
Fast wifi – 403 Mbps,3
Loreal  conditioner,3
Neff induction stove,3
110 HDTV with Amazon Prime Video,3
Fast wifi – 492 Mbps,3
75 HDTV with Chromecast,3
Fast wifi – 114 Mbps,3
Electolux refrigerator,3
Fast wifi – 537 Mbps,3
Klipsch Bluetooth sound system,3
Fast wifi – 390 Mbps,3
50 TV with Chromecast,3
Bosh stainless steel single oven,3
45 TV,3
Triangle sound system with Bluetooth and aux,3
- body soap,3
Fast wifi – 269 Mbps,3
Timotei conditioner,3
Fast wifi – 527 Mbps,3
Valberg induction stove,3
Inès de la Fressange shampoo,3
Inès de la Fressange conditioner,3
L'OREAL shampoo,3
L'OREAL conditioner,3
140 HDTV,3
Boch refrigerator,3
53 HDTV with Netflix,3
ELSEVE conditioner,3
ELSEVE shampoo,3
26 TV,3
Toutes marques shampoo,3
Toutes marques body soap,3
43 TV,3
Smeg  single oven,3
Paid standalone high chair - always at the listing,3
Cadum shampoo,3
Zara body soap,3
Boulanger oven,3
Aesop  shampoo,3
70 TV,3
Hermes conditioner,3
Marseillais shampoo,3
Dessange shampoo,3
L’Oreal conditioner,3
Fast wifi – 528 Mbps,3
38 HDTV with Amazon Prime Video,3
Le petit Marseillais  shampoo,3
Fast wifi – 160 Mbps,3
58 HDTV with Amazon Prime Video,3
Klorane body soap,3
Dove,3
Ducray shampoo,3
Fast wifi – 823 Mbps,3
16 TV,3
Fast wifi – 340 Mbps,3
Private outdoor pool - available all year,3
Fast wifi – 599 Mbps,3
Paid pack ’n play/travel crib,3
Fast wifi – 167 Mbps,3
Savon bio body soap,3
Casino shampoo,3
Mixa body soap,3
Fast wifi – 345 Mbps,3
L'Oréal  conditioner,3
Brant refrigerator,3
Fast wifi – 539 Mbps,3
42 HDTV with DVD player,3
Tahiti body soap,3
FRAGMENT 52 shampoo,3
77 HDTV with Netflix,3
Fast wifi – 413 Mbps,3
Marseille  shampoo,3
23 HDTV,3
AEG stainless steel single oven,3
Cavaillès body soap,3
Rogé Cavaillès body soap,3
. stainless steel double oven,3
Thomson stainless steel single oven,3
Aya refrigerator,3
Versace,3
l’occitane,3
Standard shampoo,3
SIEMENS stainless steel single oven,3
Boss refrigerator,3
PS2,3
Bosh stainless steel double oven,3
LOCASA refrigerator,3
Beko single oven,3
Respire shampoo,3
De Dietrich single oven,3
Bang & olufsen Bluetooth sound system,3
ROSIERES induction stove,3
Apple HomePod Bluetooth sound system,2
SMEG stainless steel gas stove,2
39 TV with standard cable,2
21 HDTV with standard cable,2
Samsung sound system with aux,2
64 HDTV with Amazon Prime Video,2
Fast wifi – 720 Mbps,2
Ariston stove,2
23 HDTV with Chromecast,2
Fast wifi – 638 Mbps,2
La vie claire body soap,2
27 TV with standard cable,2
IKEA stainless steel induction stove,2
Naturel body soap,2
Savon de Marseille shampoo,2
Thomson  stainless steel oven,2
49 HDTV with premium cable,2
Fast wifi – 516 Mbps,2
Arthur Martin stainless steel single oven,2
MIELE double oven,2
Harman kardon sound system with Bluetooth and aux,2
IKEA stainless steel electric stove,2
Fast wifi – 567 Mbps,2
Le Petit Olivier body soap,2
Organic Naturalia body soap,2
Organic Naturalia  shampoo,2
Https://www.nutrimetics.fr/ (Natural) body soap,2
Https://www.nutrimetics.fr/ (Natural) shampoo,2
28 HDTV with Netflix,2
Seb single oven,2
41 HDTV with standard cable,2
Marshal sound system with Bluetooth and aux,2
Fast wifi – 550 Mbps,2
Children’s books and toys for ages 2-5 years old and 10+ years old,2
Gaggeneau stainless steel oven,2
Marantz sound system with Bluetooth and aux,2
82 HDTV with Netflix,2
Rosières gas stove,2
Fast wifi – 634 Mbps,2
25 HDTV with Netflix,2
IKEA electric stove,2
Gorenje oven,2
Fast wifi – 227 Mbps,2
Fast wifi – 544 Mbps,2
Fast wifi – 245 Mbps,2
Logitech Bluetooth sound system,2
Faure electric stove,2
Gorenge refrigerator,2
39 HDTV with DVD player,2
B&O Bluetooth sound system,2
33 HDTV with premium cable,2
Bose Soundlink Bluetooth sound system,2
Freebox Bluetooth sound system,2
Fast wifi – 578 Mbps,2
LOREAL conditioner,2
Private pool - available all year,2
CANDY stainless steel oven,2
NAD sound system with aux,2
Occitane en Provence  body soap,2
Avène body soap,2
Savon de Marseille,2
Scholtès stainless steel oven,2
Liebheer refrigerator,2
La Cornue gas stove,2
Enceinte JBL Bluetooth sound system,2
Roger cavailles  body soap,2
Marschall sound system with Bluetooth and aux,2
25 HDTV,2
Fast wifi – 132 Mbps,2
Ue sound system,2
Four à micro-ondes oven,2
L'occitane  body soap,2
80 HDTV with premium cable,2
120 TV with Amazon Prime Video,2
Fast wifi – 560 Mbps,2
Organic  shampoo,2
Faure  oven,2
Lux body soap,2
Oreal conditioner,2
1 HDTV with Amazon Prime Video,2
Fast wifi – 216 Mbps,2
Fast wifi – 577 Mbps,2
Indésit refrigerator,2
Fast wifi – 361 Mbps,2
Tivoli Bluetooth sound system,2
Pharmacie body soap,2
So Bio conditioner,2
Fast wifi – 393 Mbps,2
48 TV with standard cable,2
60 TV with standard cable,2
63 HDTV with standard cable,2
Fast wifi – 706 Mbps,2
96 TV with standard cable,2
Fast wifi – 143 Mbps,2
Fast wifi – 523 Mbps,2
Yamaha  Bluetooth sound system,2
Ariston  stainless steel gas stove,2
Fagor refrigerator,2
Fast wifi – 569 Mbps,2
60 HDTV with Chromecast,2
Fast wifi – 402 Mbps,2
Fast wifi – 128 Mbps,2
46 HDTV with standard cable,2
Solide shampoo,2
Fast wifi – 532 Mbps,2
100 HDTV with Apple TV,2
51 HDTV with standard cable,2
85 TV with standard cable,2
Scholtes  stainless steel oven,2
Uriage,2
50 TV with premium cable,2
Sauter  single oven,2
Wirpool refrigerator,2
Rosières refrigerator,2
.. refrigerator,2
28 TV,2
Fast wifi – 839 Mbps,2
Samsung  sound system,2
L’Occitane en Provence shampoo,2
L’Occitane en Provence  body soap,2
Lacanche stainless steel gas stove,2
36 TV with standard cable,2
Whirpool single oven,2
Laden refrigerator,2
IKEA  stainless steel single oven,2
NAD Bluetooth sound system,2
Gaggenau stainless steel induction stove,2
Fast wifi – 717 Mbps,2
1 TV with standard cable,2
Aesop,2
Fast wifi – 123 Mbps,2
Plusieurs conditioner,2
Siemens  induction stove,2
Megaboom Bluetooth sound system,2
Organic / Bio body soap,2
Whirlpool stainless steel induction stove,2
Whirlpool  stainless steel single oven,2
Fast wifi – 100 Mbps,2
Proline electric stove,2
Fast wifi – 583 Mbps,2
Shared outdoor kitchen,2
Shared BBQ grill: gas,2
Boose  Bluetooth sound system,2
Game console: Xbox 360 and Xbox One,2
Whirlpool  stainless steel double oven,2
Faure stainless steel gas stove,2
Fast wifi – 133 Mbps,2
21 HDTV,2
French brand body soap,2
French brand conditioner,2
Gel douche et shampooing Bio  shampoo,2
Bosch  induction stove,2
90 HDTV,2
Cambridge Audio Bluetooth sound system,2
Cadum,2
De dietrich induction stove,2
Ikea  refrigerator,2
LACANCHE gas stove,2
Lacanche oven,2
Böse Bluetooth sound system,2
JBL  sound system,2
Wonderboom Bluetooth sound system,2
Fast wifi – 247 Mbps,2
Fast wifi – 559 Mbps,2
130 HDTV with Chromecast,2
Wifi – 5 Mbps,2
Fast wifi – 183 Mbps,2
Diverses body soap,2
Hartman Kardon Bluetooth sound system,2
Simens refrigerator,2
20 HDTV with Chromecast,2
Fast wifi – 131 Mbps,2
Américain refrigerator,2
Roger et Gallet  body soap,2
Shared pool - available seasonally,2
20 HDTV with Netflix,2
Fast wifi – 750 Mbps,2
Google sound system with Bluetooth and aux,2
DOV body soap,2
Rosière  single oven,2
Boose sound system,2
Fast wifi – 603 Mbps,2
Produit bio shampoo,2
Faure  induction stove,2
Yves rocher shampoo,2
Libherr refrigerator,2
Fast wifi – 394 Mbps,2
40 HDTV with DVD player,2
Other stainless steel gas stove,2
Ushuaia shampoo,2
Fast wifi – 331 Mbps,2
Fast wifi – 147 Mbps,2
Sanex,2
Biologique  shampoo,2
Organic soap body soap,2
Svr  body soap,2
33 TV with standard cable,2
92 HDTV with standard cable,2
So Bio body soap,2
120 HDTV with premium cable,2
Fast wifi – 320 Mbps,2
Fast wifi – 389 Mbps,2
Fast wifi – 86 Mbps,2
Samsung  Bluetooth sound system,2
45 TV with standard cable,2
24 HDTV with Fire TV,2
MIELE stainless steel oven,2
Creative sound system with Bluetooth and aux,2
CADUM shampoo,2
Boom Bluetooth sound system,2
Fast wifi – 500 Mbps,2
15 HDTV with Amazon Prime Video,2
Fast wifi – 736 Mbps,2
Game console: Nintendo Switch and PS3,2
Fast wifi – 692 Mbps,2
Whirlpool  single oven,2
Cottage body soap,2
Amazon  Bluetooth sound system,2
CATTIER body soap,2
Fast wifi – 174 Mbps,2
Rosière stainless steel oven,2
Fast wifi – 686 Mbps,2
Create refrigerator,2
Bio/organic shampoo,2
Fast wifi – 694 Mbps,2
Naim sound system with Bluetooth and aux,2
Loréal conditioner,2
BIODERMA shampoo,2
Paid parking garage on premises – 30 spaces,2
Ultimate Ears Bluetooth sound system,2
Creative Bluetooth sound system,2
L'Oreal  conditioner,2
Harman/kardon Bluetooth sound system,2
Rosière  oven,2
52 HDTV with Chromecast,2
BIODERMA body soap,2
Yoga studio,2
Childcare service - included with your stay,2
Spa access,2
37 HDTV with premium cable,2
Fast wifi – 517 Mbps,2
Hand soap body soap,2
120 HDTV with Apple TV,2
42 TV with Amazon Prime Video,2
ILLI      Hair,2
Fast wifi – 585 Mbps,2
Jbl  Bluetooth sound system,2
Fast wifi – 124 Mbps,2
Tahiti douche body soap,2
Fast wifi – 869 Mbps,2
48 TV with Netflix,2
Bang & Olufsen sound system,2
31 HDTV with Chromecast,2
17 HDTV with Amazon Prime Video,2
Fast wifi – 874 Mbps,2
Fast wifi – 196 Mbps,2
Sonos  sound system,2
Paid parking lot on premises – 5 spaces,2
Samsung  stainless steel oven,2
82 HDTV with standard cable,2
Franck Provost conditioner,2
Fast wifi – 616 Mbps,2
THOMSON stainless steel single oven,2
Fast wifi – 890 Mbps,2
Amazon Alexa Bluetooth sound system,2
Cadom body soap,2
Terre de Mars body soap,2
Terre de Mars shampoo,2
Paid parking lot on premises – 3 spaces,2
Azzaro conditioner,2
Azzaro body soap,2
147 HDTV with standard cable,2
Fast wifi – 335 Mbps,2
AESOP shampoo,2
AESOP conditioner,2
Fast wifi – 605 Mbps,2
Le comptoir du bain body soap,2
Yamaha  sound system with Bluetooth and aux,2
DAMANA shampoo,2
Selon body soap,2
Shampooing solide shampoo,2
49 HDTV with Chromecast,2
Ariston single oven,2
